Text,Class 
Способны найти общий язык с любым клиентом. Держат свое слово. Получают удовольствие от достижения результатов. Ценят труд своих коллег. ,requirements
"Продвижение оборудования компании на объекты нового <highlighttext>строительства</highlighttext> и объекты совместно с дистрибьюторами. Консультирование клиентов (дистрибьюторы, <highlighttext>строители</highlighttext>, монтажники). Проведение презентаций и...",responsibilities
Опыт работы инженером-<highlighttext>строителем</highlighttext> от 5-ти лет в монолитном <highlighttext>строительстве</highlighttext> и общестроительных работ. Высшее образование ПГС. Хорошие организаторские способности...,requirements
"Организация строительного производства (договоры подряда, сметы, графики работ), руководство проектом. Организация работ на строительных площадках в соответствии с техническими нормами...",responsibilities
"Знание нормативных и руководствующих документов, ГОСТ. - Умение работать в режиме многозадачности, внимательность, пунктуальность. - Готовность к работе любой сложности. - Профильное образование.",requirements
"Выезды на территорию заказчика для обследования конструкций неразрушающими методами контроля. - Проведение испытаний на объектах <highlighttext>строительства</highlighttext> по материалам: бетоны, металлы, сварные...",responsibilities
"Образование - высшее техническое образование, квалификация - инженер. Знание нормативных актов по вопросам выполняемой работы, документации по охране труда, пожарной безопасности. ",requirements
"Осуществление технической приемки законченных <highlighttext>строитель</highlighttext>-монтажных работ по инженерным системам, оформляет необходимую техническую документацию направлению/этапу проекта. Участие в работе...",responsibilities
"Если Вы без опыта, готовы предоставить ПОДГОТОВКУ.",requirements
"Выезд к клиенту на дом (по Вашему округу).  Замена неисправных запчастей на бытовых холодильниках, в том числе ЗАПРАВКА ХЛАДАГЕНТА.  ",responsibilities
"высшее профильное образование. - опыт работы в области проектирования или <highlighttext>строительства</highlighttext> малоэтажных индивидуальных домов. - знание действующих норм и правил проектирования, принятия...",requirements
"В строительную компанию по малоэтажному <highlighttext>строительству</highlighttext> ""Техно-Ремонт"" требуется АРХИТЕКТОР, на проектирование домов малоэтажной застройки из газобетона, керамических блоков и...",responsibilities
Опыт работы на должности прораба/производителя работ от 3-х лет. Знание материалов и технологий строительно-отделочных работ. ,requirements
"Контроль этапов <highlighttext>строительства</highlighttext> и ремонта. Контроль закупки строительных материалов. Организация и контроль работы <highlighttext>строителей</highlighttext> на объекте (мастеров, бригад). ",responsibilities
"Высшее экономическое образование (бухгалтерский учет, анализ и аудит). Опыт работы 3-6 лет. Необходимо уметь и знать: Навыки работы с...",requirements
Сопровождение внедрения программного обеспечения для ведения бухгалтерского учета в соответствии с местным законодательством. Выполнение сверки по налогам с заказчиком и...,responsibilities
"Коммуникабельность, умение и желание общаться с заказчиком. Знание нормативной документации по расчету и проектированию. Владение ArchiCAD- обязательно. Оперативное реагирование на...",requirements
"Взаимодействие с Заказчиками и смежными отделами (менеджеры, конструкторы, инженеры, <highlighttext>строители</highlighttext>). Самостоятельно вести и разрабатывать проектную документацию раздела ЭП, АР (брусовые...",responsibilities
"Навыки работы с Заказчиками, Подрядчиками, Авторским надзором и др. участниками <highlighttext>строительства</highlighttext>. Знание строительных технологий, ГОСТ, СП, От и ТБ. ",requirements
"Организация <highlighttext>строительства</highlighttext> на объекте с нуля до сдачи в эксплуатацию. Управление строительными бригадами, участие в подборе и формирование бригад. ",responsibilities
Высшее строительное образование (инженер-<highlighttext>строитель</highlighttext>). Стаж работы не менее 3-х лет по специальности. Не менее одного года на аналогичной...,requirements
"...надзора за <highlighttext>строительством</highlighttext>. Взаимодействие с проектировщиками разделов АР, КЖ, ИО и др.. Контроль исполнения проектных решений на объектах <highlighttext>строительства</highlighttext>. ",responsibilities
Владение технической терминологией. Понимание технологии <highlighttext>строительства</highlighttext>. Опытный пользователь ПК. Желательно знание состава требований к оформлению документации в <highlighttext>строительстве</highlighttext>.,requirements
"Ежедневное составление производственных сводок по выполнению работ. Ведение оперативной документации (журналы, книги и т.п.). Составление табеля учета рабочего времени...",responsibilities
Высшее профессиональное образование. Специальность по образованию: Инженер-сметчик. (Промышленное и гражданское <highlighttext>строительство</highlighttext>). Стаж работы по направлению деятельности не менее 5...,requirements
Учет законченных строительно-монтажных и ремонтных работ и подготовка необходимых данных для составления отчетности о выполнении планов капитального <highlighttext>строительства</highlighttext>. ,responsibilities
"Опыт работы в сфере <highlighttext>строительства</highlighttext>, ремонта зданий и сооружений. Исполнительность. Образование среднее, средне-специальное. Приветствуется опыт работы по следующим специальностям...",requirements
"Выполнение общестроительных и строительно-монтажных работ в составе бригады. Работы связанны с реконструкцией зданий, ремонтом производственных помещений и инженерных систем...",responsibilities
"Глубокие знания в области строительных технологий, стандартов и норм <highlighttext>строительства</highlighttext> мостов и автомобильных дорог. Опыт в управлении крупными строительными проектами...",requirements
"Организация работы по ведению учета и составлению отчетности по <highlighttext>строительству</highlighttext>. Анализ и контроль рационального использования строительных материалов, технических механизмов. ",responsibilities
"Опыт работы в строительной сфере (приветствуются сварщики). Навыки работы с инструментом (сварочный аппарат, болгарка, торцевая пила, дрель, перфоратор и т...",requirements
"<highlighttext>Строительство</highlighttext> террас, веранд и входных групп по Москве и Московской области. Изготовление сварных металлокаркасов, монтаж террасной доски и ограждений, уличных...",responsibilities
"Опыт работы мастером любой квалификации (маляр, штукатур, плиточник, отделочник, универсал, мастер-универсал, <highlighttext>строитель</highlighttext>, и т.д.). Опыт работы универсалом-отделочником...",requirements
"Выполнение работ по внутренней отделке помещений(частных домов, квартир, санузлов, ванных комнат). Черновые подготовительные работы (выравнивание стен, наливной пол, выравнивание...",responsibilities
Высшее строительное образование. Опыт ведения авторского/технического надзора (либо опыт работы в службе технического заказчика (при <highlighttext>строительстве</highlighttext>). Наличие опыта работы...,requirements
"Ведение авторского надзора за <highlighttext>строительством</highlighttext>. Выезд на объекты, аккумулирование вопросов накопленных <highlighttext>строителями</highlighttext>. Проверка на соответствие выполненных работ по проекту. ",responsibilities
"Высшее образование (инженер-<highlighttext>строитель</highlighttext>, экономическое). Опыт работы не менее 10 лет (<highlighttext>строительство</highlighttext> социальных объектов, БЦ, Гостиниц, ЖК). Знание методических и...",requirements
Составление сметной документации на все виды строительно-монтажных работ по проектной документации и на разработку проектной документации. Формирование и ведение...,responsibilities
"Знание технологии всех общестроительных работ обязательно! Монолитных работ. Каменных (газобетон, кирпич, теплая керамика). Кровельных. Отделочных и тд. Инженерные коммуникации. ",requirements
Контроль и проверка проектной документации и сметы. Контроль качества <highlighttext>строительства</highlighttext>. Решение спорных вопросов с заказчиком или его представителем (технадзором). ,responsibilities
"Опыт работы <highlighttext>строителем</highlighttext> отделочником не менее года. - Знание материалов и оборудования, используемых в <highlighttext>строительстве</highlighttext>. - Коммуникабельность и готовность к работе в...",requirements
Выполнение отделочных работ на объектах компании. - Выполнение ремонтных и отделочных работ в помещениях различного назначения. - Выполнение ремонтных строительно-отделочных работ...,responsibilities
Поcрeдникам и одиночкaм НE беcпoкоить!!! — Умение читать чертежи. — Свой инструмент.,requirements
"Контроль качества, сроков <highlighttext>строительства</highlighttext>. — Своевременная поставка строительных материалов на объект (в случаи форс-мажора простои бригады компенсируются компанией). — <highlighttext>Строительство</highlighttext> домов...",responsibilities
"Работа на руководящих должностях. Знания Microsoft office, AutoCAD (приветствуется).",requirements
"Контроль качества и сроков проектирования и <highlighttext>строительства</highlighttext>, ведение графика проектирования и <highlighttext>строительства</highlighttext>. Контроль работы дизайнеров , чертежников, Визуализаторов, Увязка их деятельности...",responsibilities
"Опыт работы на должности ГИПа \ инженера-проектировщика от 2 лет. Опыт организации проектных работ, проектирования, получения согласований в надзорных органах...",requirements
"Техническое руководство и авторский контроль за реализацией проектов, проектирование жилых домов , получение разрешения на <highlighttext>строительство</highlighttext>, прохождение экспертизы проектов. ",responsibilities
"Знание законодательной базы и нормативных документов в области <highlighttext>строительства</highlighttext>. Знание нормативных баз (СП, ГОСТ, СНиП). Опыт работы судебным экспертом (для...",requirements
Подготовка экспертных заключений и иной экспертно-правовой документации. Проведение строительно-технических судебных экспертиз и внесудебных исследований: Составление смет: определить объем...,responsibilities
Опыт работы на должности прораба/производителя работ от 3-х лет. Знание материалов и технологий строительно-отделочных работ. ,requirements
"Контроль этапов <highlighttext>строительства</highlighttext> и ремонта. Контроль закупки строительных материалов. Организация и контроль работы <highlighttext>строителей</highlighttext> на объекте (мастеров, бригад). ",responsibilities
"Опыт реализации проектов в качестве Руководителя <highlighttext>строительства</highlighttext> / Начальника участка / Главного инженера от 3-х лет. Отличное знание технологий <highlighttext>строительства</highlighttext>, проектирования...",requirements
Разработка и контроль бюджетного планирования и трат на вверенных объектах; принятие своевременных мер по недопущению необоснованного удорожания <highlighttext>строительства</highlighttext>. ,responsibilities
"Высшее профессиональное, квалификация инженер-<highlighttext>строитель</highlighttext> (дорожное <highlighttext>строительство</highlighttext>). Профессиональные навыки: умение планировать, уверенный пользователь Spider Project. Знание экономики <highlighttext>строительства</highlighttext>. ",requirements
"Разработка календарных планов с ресурсами на основании нормативов. Расчет и внесение единичных расценок. Формирование графиков по объекту, внесение учетных данных...",responsibilities
"Опыт аналогичного <highlighttext>строительства</highlighttext>, портфолио. Умение читать чертежи - и строить точно по проектам. <highlighttext>Строительство</highlighttext> конструктива дома (одного из типов - каркас, газобетон...",requirements
"<highlighttext>Строительство</highlighttext> домов в Московской области. <highlighttext>Строительство</highlighttext> домов: каркасные; газобетонные; из керамики (без работ по электрике, коммуникациям, фундаментам).",responsibilities
"Требования: - Опыт работы мастером любой квалификации (маляр, штукатур, плиточник, отделочник, универсал, мастер-универсал, <highlighttext>строитель</highlighttext>, и т.д.). - Опыт работы универсалом...",requirements
"Выполнение работ по внутренней отделке (квартир, санузлов, ванных комнат). - Черновые подготовительные работы (выравнивание стен, наливной пол, выравнивание оснований под укладку...",responsibilities
"Умение читать и анализировать чертежи; Умение работать со сметами. - Знание нормативной документации в сфере <highlighttext>строительства</highlighttext>. - Навыки разработки Технологических карт, Проектов...",requirements
Проводить входной контроль проектной и рабочей документации и сметной. - Оформление и подготовка к сдаче исполнительной документации. - Оформление и согласование разрешительной...,responsibilities
Высшее профессиональное техническое образование (инженер-<highlighttext>строитель</highlighttext>). Опыт работы в аналогичной должности от 3-х лет.,requirements
"Строительный контроль производства строительно-монтажных (ремонтно-строительных) работ, соответствия результатов выполненных работ проектной и нормативно-технической документации на строительном объекте. ",responsibilities
"Опыт электромонтажных и слаботочных работ. Высшее/среднее техническое (электротехническое) образование. Ответственность, внимательность, умение работать с людьми, организаторские способности. ",requirements
"Производство и контроль работ на объекте (монтаж слаботочных и силовых систем ЭОМ, АПС‚ СКС , СОВ, РТ, СКПТ, СОТС, СОУЭ‚ АСКУЭ...",responsibilities
"Готовность выезжать в суды. Умение пользоваться измерительными приборами, применяемыми в <highlighttext>строительстве</highlighttext>. Опыт работы по специальности от 3 лет. ",requirements
"Проведение строительно-технических экспертиз/исследований, рецензирований. Осмотры объектов. Написание экспертных заключений.",responsibilities
"Высшее строительное/архитектурное образование. Опыт реализации проектов fit-out не менее 3 лет. Отличное знание отделочных материалов и оборудования, понимание...",requirements
"Координация и сопровождение контрагентов - исполнителей (дизайнеры, архитекторы, проектировщики, поставщики, <highlighttext>строители</highlighttext>) в процессе реализации проекта. Планирование календарных графиков проекта и обеспечение...",responsibilities
"Высшее образование (ПГС будет являться преимуществом). Опыт работы инженера — <highlighttext>строителя</highlighttext> (ПТО). Знание нормативной документации, умение работать с проектной документацией, опыт...",requirements
Контроль за ведением договорной работы и документооборота по подчиненным объектам. Подготовка отчетности о ходе <highlighttext>строительства</highlighttext> и выполнения графиков о статусе...,responsibilities
Высшее или среднее специальное строительное образование. Опыт работы от 3-х лет в аналогичной должности. Опытный пользователь ПК (Excel). ,requirements
"Организация производства ра­бот в соответствии с заданием, проектной документацией, <highlighttext>строитель</highlighttext>­ными нормами и правилами. Контроль качества и сроков производства...",responsibilities
"Ответственность. Аккуратность. Опыт работы в <highlighttext>строительстве</highlighttext>. Умение работать с электроинструментом. Пунктуальность, порядочность. Умение и желание расти и развиваться.",requirements
"Разгрузка, погрузка материалов. Выполнение полного цикла общестроительных работ. Помощь монтажникам, слесарям, сварщикам.",responsibilities
"Высшее юридическое образование. Опыт работы от 3 лет. Владение компьютером на уровне грамотного пользователя (Знание программ: Word, Excel). ",requirements
"Правовая экспертиза договоров (в том числе строительный подряд, лизинг, поручительство, заём, госконтракты и т.п). Судебно-претензионная работа. ",responsibilities
"Ищем специалиста с подтвержденным опытом работы со спонсорами, а также организации партнерских программ, налаженными личными отношениями - девелоперские, производственные , IT компании...",requirements
"Обязательно: Работа с документами СНиП, Гост. Знание законодательной и нормативной базы в <highlighttext>строительстве</highlighttext>, устройств внутренних и наружных сетей и систем...",requirements
"Контроль за ходом строительно-монтажных работ на объекте, соблюдение графика строительных работ. Определение порядка организации работ, применяемые технологии производства работ. ",responsibilities
"Опыт от 1 года. Высшее профессиональное образование. Знание MS Office. Опыт работы с САПР: AutoCAD, Corel Draw, Autodesk Inventor, Компас...",requirements
"Разработка новых изделий в соответствии с государственными стандартами и требованиями заказчика. Создание проектной документации, конструкторской документации щитового оборудования (с 3...",responsibilities
Высшее техническое образование. Аналогичный опыт работы от 3-х лет. Опыт работы в Службе Заказчика. ПК уверенный пользователь (MS Office...,requirements
Подписание Акта приёмки рабочей комиссии и Акта передачи в эксплуатацию объектов и систем завершенного <highlighttext>строительства</highlighttext>. Проведение технических консультаций при модификациях...,responsibilities
Высшее образование (инженерно-строительное/техническое (ПГС). Опыт работы по специальности от 5 лет. Знание строительной документации и технологии производства СМР. ,requirements
"Контроль за подготовкой, составлением и подписанием исполнительной и производственной документации для сдачи объекта капитального <highlighttext>строительства</highlighttext> в эксплуатацию. Подготовка ППР, составление...",responsibilities
"Опыт работы в качестве прораба, завхоза, мастера по <highlighttext>строительству</highlighttext>, руководителя стройки. Обязательно навыки мастера по <highlighttext>строительству</highlighttext> и ремонту.",requirements
Производство строительных и ремонтных работ своими руками. Составление планов и схем коммуникаций (сейчас планов и схем нет). Эксплуатация зданий и...,responsibilities
"Образование – высшее (специализации: промышленное-гражданское <highlighttext>строительство</highlighttext>, инженерно-технические). Опыт работы – от 1 года в сфере <highlighttext>строительства</highlighttext>, навыки работы с подрядными...",requirements
"Осуществлять выезды по объектам для проведения технического обследования. Формировать техническую документацию по итогам выезда (бриф, оценочный лист, инженерное заключение и...",responsibilities
"Высшее инженерно-техническое образование (предпочтительно специализация-инженер <highlighttext>строитель</highlighttext> ПГС). Опыт работы на инженерно-технических должностях в области <highlighttext>строительства</highlighttext>, ремонта, реконструкции...",requirements
"Осуществлять подготовку, сбор исходных данных для заключения Договоров по ремонту и реконструкции объектов. Подготавливать проекты договоров на проведение строительно-монтажных...",responsibilities
"Требуемые навыки: - опыт работы на малоэтажной стройке, знание строительных материалов. - опыт работы на нулевых этапах работ, с разметкой, инертными массами...",requirements
выполнение поручений и следование плану работ бригадира и руководителей. - обучиться под надзором опытных бригадиров и мастеров работе на всех этапах...,responsibilities
"Опыт работы каменщиком приветствуется. —Вы активный, честный, позитивный, выносливый. —Настоящий <highlighttext>строитель</highlighttext>, который не ноет и не боится работы и капризов...",requirements
"Выполнение кладки (наружных, внутренних стен и перегородок, шахт из: —газобетона. —пеноблока. —кирпича (полнотелый, облицовочный, пустотелый). —пазогребневых плит. —керамзитоблока. —лицевая кладка.",responsibilities
Аккуратное и качественное выполнение работ. Допуск работа на высоте. Желание работать.,requirements
"Ремонт помещений (покраска, побелка, шпаклевка. штукатурка, обшивка стен гипсокартоном, монтаж гипсокартонных систем любой сложности, монтаж натяжных потолков, поклейка обоев, покраска...",responsibilities
"Высшее техническое образование.Отраслевая принадлежность-<highlighttext>строительство</highlighttext>. Опыт работы в структуре заказчика , генподрядчика,подрядчика. Релевантный по функционалу опыт работы от 5 лет...",requirements
1. Ежедневный мониторинг (сбор факта) выполнения физобъёмов на стройплощадке с предоставлением отчёта в Excel. 2. Ежедневная проверка точности и достоверности...,responsibilities
"Знание требований правовой и нормативной документации, требуемой для проектирования и <highlighttext>строительства</highlighttext>. Уверенные знания программ MS Office, желательно знание MS Project. ",requirements
"Обеспечение формирования и выполнения графика производства работ на объектах <highlighttext>строительства</highlighttext>. Управление производственным процессом, который осуществляется как собственными трудовыми ресурсами, так...",responsibilities
"Высшее инженерно-строительное образование. Опыт работы на линейных должностях: мастер, прораб, начальник участка. Опыт участия в проектах капитального ремонта и...",requirements
Организация <highlighttext>строительства</highlighttext> на объекте (капитальный ремонт и комплексная отделка медицинских центров премиум класса). Управление подрядными организациями. Контроль качества и сроков...,responsibilities
Опыт в <highlighttext>строительстве</highlighttext> объектов не менее 2-х лет на аналогичной позиции. Опыт работы на внутренних отделочных работах. ,requirements
"Контролировать объект <highlighttext>строительства</highlighttext> ( внутренняя отделка). Руководить бригадой <highlighttext>строителей</highlighttext> от 4 до 12 человек, распределять задачи. Организовывать и контролировать своевременное обеспечение...",responsibilities
"Релевантный опыт работы в от 5-ти лет. Высшее строительное образование (ПГС). Организаторские способности, умение работать в команде. ",requirements
"Управление производством работ, координация работы подрядчиков и субподрядчиков. Руководство бригадами <highlighttext>строителей</highlighttext>. Подготовка информации (объемы работ) для составления актов скрытых работ...",responsibilities
Опыт работы в атомной энергетике. Высшее техническое образование или в области качества. Опыт работы от года. Навыки проведения аудитов. ,requirements
"Организация и осуществление разработки, внедрения, актуализации и совершенствования внутренних нормативных документов СМК организации, необходимых для ресертификации основных видов деятельности на...",responsibilities
"Знания технологии производства строительно-монтажных работ. Опыт работы в сметных программах. Понимание ценообразования в <highlighttext>строительстве</highlighttext>, в т.ч. ",requirements
"Участие в формировании сводных сметных расчётов по объектам. Работа в программе Гектор: Сметчик - <highlighttext>строитель</highlighttext>. Подготовка и ведение накопительных ведомостей, в...",responsibilities
"Опыт работы на позиции менеджера по продажам от 1 года. Нацеленность на результат, коммуникабельность, позитивный настрой, исполнительность и пунктуальность. ",requirements
Обработка входящих заявок. Сбор информации и составление коммерческих предложений. Подсчет объемов работ по чертежам и спецификациям. Заключение договоров на выполнение...,responsibilities
"Техническое образование: среднее специальное, среднее профессиональное, высшее профессиональное образование. Знание инженерных систем зданий, технологий <highlighttext>строительства</highlighttext>/отделки. Стаж работы в должностях...",requirements
"Эксплуатация объекта коммерческой недвижимости. Составление заявок на материалы, оборудования и инвентаря. Взаимодействие со смежными подразделениями и подрядными организациями. Контроль тех. ",responsibilities
"Опыт ведения строительного контроля. Опыт управления командой. Презентабельный внешний вид, грамотная техническая речь. Опыт оформления информационных писем и ответов на...",requirements
"Удаленное ведение нескольких объектов Стройконтроль, периодические выезды. Национальный реестр <highlighttext>строителей</highlighttext> или готовые документы для оформления. Опыт проверки табелей сотрудников и...",responsibilities
"...инженер-архитектор, архитектор, инженер-<highlighttext>строитель</highlighttext>, желательно ПГС и пр.). Опыт работы в области проектирования и/или <highlighttext>строительства</highlighttext> малоэтажных индивидуальных домов...",requirements
"Сфера деятельности: <highlighttext>Строительство</highlighttext>. Образование: Средне специальное/Высшее (профильное). Стаж работы: от 5 лет. Знание ПК, Windows, MC‑office, чтение чертежей.",requirements
"Проверка качества и объёмов выполненных работ, руководство бригадами. Контроль работы субподрядчиков. Контроль расходов материала, подготовка актов скрытых работ, технический контроль...",responsibilities
Высшее образование (Инженер-<highlighttext>строитель</highlighttext>). Опыт работы главным/ведущим специалистом ПТО в компаниях осуществляющих <highlighttext>строительство</highlighttext>/реконструкцию объектов электроэнергетики (ПС/ВЛ) от...,requirements
Формирование и сдача ИД заказчику. Разработка и согласование ППР. Участие в приемке материалов и оборудования. Заполнение общих и специальных журналов...,responsibilities
"Опыт работы в сфере открытия (<highlighttext>строительство</highlighttext>, оснащение) или эксплуатации розничных объектов. Знание принципов договоров подряда и поставки. Высшее образования – строительное...",requirements
"Подготовка технических заданий и документации для <highlighttext>строителей</highlighttext>. Составление бюджетов на объекты. Подбор подрядчиков, проведение тендеров (223 – ФЗ). Ведением документации по...",responsibilities
"Знание нормативной базы <highlighttext>строительства</highlighttext> (Градостроительный кодекс, СП, ГОСТ). Знание правил и методик подсчета объёмов, технологий <highlighttext>строительства</highlighttext>. Свободное владение AutoCad, MS...",requirements
"Взаимодействие с заказчиками, архитекторами, <highlighttext>строителями</highlighttext>. Подготавливать Исполнительную документацию (ИД) для Заказчика (Журналы работ, КС-2/3, АОСР, Сертификаты, Паспорта и...",responsibilities
"Опыт в <highlighttext>строительстве</highlighttext> и умение работать по проектам, схемам, чертежам.",requirements
Обеспечение выполнения плана строительно-монтажных работ на своём участке. - Обеспечение соблюдения технологии производства работ. - Проведение мероприятий по предупреждению брака и...,responsibilities
"Опыт в активных продажах, желание развиваться. Стремление достойно зарабатывать за счет личных результатов. Уверенность в себе, ответственность, коммуникабельность и гибкость...",requirements
"Продавать строительные материалы (работа с существующей клиентской базой и ее расширение, постоянный мониторинг теплых клиентов, а также поддержка постоянных). ",responsibilities
